# domain	grade	kind	question	answer
# Open PK-K-G1 curriculum bank — generated by curriculum_open.py
math	preschool	fact	number 0	zero
math	preschool	fact	count word zero	0
math	preschool	fact	after zero	one
math	preschool	problem	next after 0	1
math	preschool	fact	number 1	one
math	preschool	fact	count word one	1
math	preschool	fact	after one	two
math	preschool	problem	next after 1	2
math	preschool	fact	before one	zero
math	preschool	fact	number 2	two
math	preschool	fact	count word two	2
math	preschool	fact	after two	three
math	preschool	problem	next after 2	3
math	preschool	fact	before two	one
math	preschool	fact	number 3	three
math	preschool	fact	count word three	3
math	preschool	fact	after three	four
math	preschool	problem	next after 3	4
math	preschool	fact	before three	two
math	preschool	fact	number 4	four
math	preschool	fact	count word four	4
math	preschool	fact	after four	five
math	preschool	problem	next after 4	5
math	preschool	fact	before four	three
math	preschool	fact	number 5	five
math	preschool	fact	count word five	5
math	preschool	fact	after five	six
math	preschool	problem	next after 5	6
math	preschool	fact	before five	four
math	kindergarten	fact	number 6	six
math	kindergarten	fact	count word six	6
math	kindergarten	fact	after six	seven
math	kindergarten	problem	next after 6	7
math	kindergarten	fact	before six	five
math	kindergarten	fact	number 7	seven
math	kindergarten	fact	count word seven	7
math	kindergarten	fact	after seven	eight
math	kindergarten	problem	next after 7	8
math	kindergarten	fact	before seven	six
math	kindergarten	fact	number 8	eight
math	kindergarten	fact	count word eight	8
math	kindergarten	fact	after eight	nine
math	kindergarten	problem	next after 8	9
math	kindergarten	fact	before eight	seven
math	kindergarten	fact	number 9	nine
math	kindergarten	fact	count word nine	9
math	kindergarten	fact	after nine	ten
math	kindergarten	problem	next after 9	10
math	kindergarten	fact	before nine	eight
math	kindergarten	fact	number 10	ten
math	kindergarten	fact	count word ten	10
math	kindergarten	fact	after ten	eleven
math	kindergarten	problem	next after 10	11
math	kindergarten	fact	before ten	nine
math	grade1	fact	number 11	eleven
math	grade1	fact	count word eleven	11
math	grade1	fact	after eleven	twelve
math	grade1	problem	next after 11	12
math	grade1	fact	before eleven	ten
math	grade1	fact	number 12	twelve
math	grade1	fact	count word twelve	12
math	grade1	fact	after twelve	thirteen
math	grade1	problem	next after 12	13
math	grade1	fact	before twelve	eleven
math	grade1	fact	number 13	thirteen
math	grade1	fact	count word thirteen	13
math	grade1	fact	after thirteen	fourteen
math	grade1	problem	next after 13	14
math	grade1	fact	before thirteen	twelve
math	grade1	fact	number 14	fourteen
math	grade1	fact	count word fourteen	14
math	grade1	fact	after fourteen	fifteen
math	grade1	problem	next after 14	15
math	grade1	fact	before fourteen	thirteen
math	grade1	fact	number 15	fifteen
math	grade1	fact	count word fifteen	15
math	grade1	fact	after fifteen	sixteen
math	grade1	problem	next after 15	16
math	grade1	fact	before fifteen	fourteen
math	grade1	fact	number 16	sixteen
math	grade1	fact	count word sixteen	16
math	grade1	fact	after sixteen	seventeen
math	grade1	problem	next after 16	17
math	grade1	fact	before sixteen	fifteen
math	grade1	fact	number 17	seventeen
math	grade1	fact	count word seventeen	17
math	grade1	fact	after seventeen	eighteen
math	grade1	problem	next after 17	18
math	grade1	fact	before seventeen	sixteen
math	grade1	fact	number 18	eighteen
math	grade1	fact	count word eighteen	18
math	grade1	fact	after eighteen	nineteen
math	grade1	problem	next after 18	19
math	grade1	fact	before eighteen	seventeen
math	grade1	fact	number 19	nineteen
math	grade1	fact	count word nineteen	19
math	grade1	fact	after nineteen	twenty
math	grade1	problem	next after 19	20
math	grade1	fact	before nineteen	eighteen
math	grade1	fact	number 20	twenty
math	grade1	fact	count word twenty	20
math	grade1	fact	before twenty	nineteen
math	preschool	fact	0 plus 0	zero
math	preschool	fact	zero and zero	zero
math	preschool	problem	0+0	0
math	preschool	problem	0 plus 0 word	zero
math	preschool	fact	0 plus 1	one
math	preschool	fact	zero and one	one
math	preschool	problem	0+1	1
math	preschool	problem	0 plus 1 word	one
math	preschool	fact	0 plus 2	two
math	preschool	fact	zero and two	two
math	preschool	problem	0+2	2
math	preschool	problem	0 plus 2 word	two
math	preschool	fact	0 plus 3	three
math	preschool	fact	zero and three	three
math	preschool	problem	0+3	3
math	preschool	problem	0 plus 3 word	three
math	kindergarten	fact	0 plus 4	four
math	kindergarten	fact	zero and four	four
math	kindergarten	problem	0+4	4
math	kindergarten	problem	0 plus 4 word	four
math	kindergarten	fact	0 plus 5	five
math	kindergarten	fact	zero and five	five
math	kindergarten	problem	0+5	5
math	kindergarten	problem	0 plus 5 word	five
math	kindergarten	fact	0 plus 6	six
math	kindergarten	fact	zero and six	six
math	kindergarten	problem	0+6	6
math	kindergarten	problem	0 plus 6 word	six
math	kindergarten	fact	0 plus 7	seven
math	kindergarten	fact	zero and seven	seven
math	kindergarten	problem	0+7	7
math	kindergarten	problem	0 plus 7 word	seven
math	kindergarten	fact	0 plus 8	eight
math	kindergarten	fact	zero and eight	eight
math	kindergarten	problem	0+8	8
math	kindergarten	problem	0 plus 8 word	eight
math	kindergarten	fact	0 plus 9	nine
math	kindergarten	fact	zero and nine	nine
math	kindergarten	problem	0+9	9
math	kindergarten	problem	0 plus 9 word	nine
math	kindergarten	fact	0 plus 10	ten
math	kindergarten	fact	zero and ten	ten
math	kindergarten	problem	0+10	10
math	kindergarten	problem	0 plus 10 word	ten
math	preschool	fact	1 plus 0	one
math	preschool	fact	one and zero	one
math	preschool	problem	1+0	1
math	preschool	problem	1 plus 0 word	one
math	preschool	fact	1 plus 1	two
math	preschool	fact	one and one	two
math	preschool	problem	1+1	2
math	preschool	problem	1 plus 1 word	two
math	preschool	fact	1 plus 2	three
math	preschool	fact	one and two	three
math	preschool	problem	1+2	3
math	preschool	problem	1 plus 2 word	three
math	preschool	fact	1 plus 3	four
math	preschool	fact	one and three	four
math	preschool	problem	1+3	4
math	preschool	problem	1 plus 3 word	four
math	kindergarten	fact	1 plus 4	five
math	kindergarten	fact	one and four	five
math	kindergarten	problem	1+4	5
math	kindergarten	problem	1 plus 4 word	five
math	kindergarten	fact	1 plus 5	six
math	kindergarten	fact	one and five	six
math	kindergarten	problem	1+5	6
math	kindergarten	problem	1 plus 5 word	six
math	kindergarten	fact	1 plus 6	seven
math	kindergarten	fact	one and six	seven
math	kindergarten	problem	1+6	7
math	kindergarten	problem	1 plus 6 word	seven
math	kindergarten	fact	1 plus 7	eight
math	kindergarten	fact	one and seven	eight
math	kindergarten	problem	1+7	8
math	kindergarten	problem	1 plus 7 word	eight
math	kindergarten	fact	1 plus 8	nine
math	kindergarten	fact	one and eight	nine
math	kindergarten	problem	1+8	9
math	kindergarten	problem	1 plus 8 word	nine
math	kindergarten	fact	1 plus 9	ten
math	kindergarten	fact	one and nine	ten
math	kindergarten	problem	1+9	10
math	kindergarten	problem	1 plus 9 word	ten
math	grade1	fact	1 plus 10	eleven
math	grade1	fact	one and ten	eleven
math	grade1	problem	1+10	11
math	preschool	fact	2 plus 0	two
math	preschool	fact	two and zero	two
math	preschool	problem	2+0	2
math	preschool	problem	2 plus 0 word	two
math	preschool	fact	2 plus 1	three
math	preschool	fact	two and one	three
math	preschool	problem	2+1	3
math	preschool	problem	2 plus 1 word	three
math	preschool	fact	2 plus 2	four
math	preschool	fact	two and two	four
math	preschool	problem	2+2	4
math	preschool	problem	2 plus 2 word	four
math	preschool	fact	2 plus 3	five
math	preschool	fact	two and three	five
math	preschool	problem	2+3	5
math	preschool	problem	2 plus 3 word	five
math	kindergarten	fact	2 plus 4	six
math	kindergarten	fact	two and four	six
math	kindergarten	problem	2+4	6
math	kindergarten	problem	2 plus 4 word	six
math	kindergarten	fact	2 plus 5	seven
math	kindergarten	fact	two and five	seven
math	kindergarten	problem	2+5	7
math	kindergarten	problem	2 plus 5 word	seven
math	kindergarten	fact	2 plus 6	eight
math	kindergarten	fact	two and six	eight
math	kindergarten	problem	2+6	8
math	kindergarten	problem	2 plus 6 word	eight
math	kindergarten	fact	2 plus 7	nine
math	kindergarten	fact	two and seven	nine
math	kindergarten	problem	2+7	9
math	kindergarten	problem	2 plus 7 word	nine
math	kindergarten	fact	2 plus 8	ten
math	kindergarten	fact	two and eight	ten
math	kindergarten	problem	2+8	10
math	kindergarten	problem	2 plus 8 word	ten
math	grade1	fact	2 plus 9	eleven
math	grade1	fact	two and nine	eleven
math	grade1	problem	2+9	11
math	grade1	fact	2 plus 10	twelve
math	grade1	fact	two and ten	twelve
math	grade1	problem	2+10	12
math	preschool	fact	3 plus 0	three
math	preschool	fact	three and zero	three
math	preschool	problem	3+0	3
math	preschool	problem	3 plus 0 word	three
math	preschool	fact	3 plus 1	four
math	preschool	fact	three and one	four
math	preschool	problem	3+1	4
math	preschool	problem	3 plus 1 word	four
math	preschool	fact	3 plus 2	five
math	preschool	fact	three and two	five
math	preschool	problem	3+2	5
math	preschool	problem	3 plus 2 word	five
math	kindergarten	fact	3 plus 3	six
math	kindergarten	fact	three and three	six
math	kindergarten	problem	3+3	6
math	kindergarten	problem	3 plus 3 word	six
math	kindergarten	fact	3 plus 4	seven
math	kindergarten	fact	three and four	seven
math	kindergarten	problem	3+4	7
math	kindergarten	problem	3 plus 4 word	seven
math	kindergarten	fact	3 plus 5	eight
math	kindergarten	fact	three and five	eight
math	kindergarten	problem	3+5	8
math	kindergarten	problem	3 plus 5 word	eight
math	kindergarten	fact	3 plus 6	nine
math	kindergarten	fact	three and six	nine
math	kindergarten	problem	3+6	9
math	kindergarten	problem	3 plus 6 word	nine
math	kindergarten	fact	3 plus 7	ten
math	kindergarten	fact	three and seven	ten
math	kindergarten	problem	3+7	10
math	kindergarten	problem	3 plus 7 word	ten
math	grade1	fact	3 plus 8	eleven
math	grade1	fact	three and eight	eleven
math	grade1	problem	3+8	11
math	grade1	fact	3 plus 9	twelve
math	grade1	fact	three and nine	twelve
math	grade1	problem	3+9	12
math	grade1	fact	3 plus 10	thirteen
math	grade1	fact	three and ten	thirteen
math	grade1	problem	3+10	13
math	kindergarten	fact	4 plus 0	four
math	kindergarten	fact	four and zero	four
math	kindergarten	problem	4+0	4
math	kindergarten	problem	4 plus 0 word	four
math	kindergarten	fact	4 plus 1	five
math	kindergarten	fact	four and one	five
math	kindergarten	problem	4+1	5
math	kindergarten	problem	4 plus 1 word	five
math	kindergarten	fact	4 plus 2	six
math	kindergarten	fact	four and two	six
math	kindergarten	problem	4+2	6
math	kindergarten	problem	4 plus 2 word	six
math	kindergarten	fact	4 plus 3	seven
math	kindergarten	fact	four and three	seven
math	kindergarten	problem	4+3	7
math	kindergarten	problem	4 plus 3 word	seven
math	kindergarten	fact	4 plus 4	eight
math	kindergarten	fact	four and four	eight
math	kindergarten	problem	4+4	8
math	kindergarten	problem	4 plus 4 word	eight
math	kindergarten	fact	4 plus 5	nine
math	kindergarten	fact	four and five	nine
math	kindergarten	problem	4+5	9
math	kindergarten	problem	4 plus 5 word	nine
math	kindergarten	fact	4 plus 6	ten
math	kindergarten	fact	four and six	ten
math	kindergarten	problem	4+6	10
math	kindergarten	problem	4 plus 6 word	ten
math	grade1	fact	4 plus 7	eleven
math	grade1	fact	four and seven	eleven
math	grade1	problem	4+7	11
math	grade1	fact	4 plus 8	twelve
math	grade1	fact	four and eight	twelve
math	grade1	problem	4+8	12
math	grade1	fact	4 plus 9	thirteen
math	grade1	fact	four and nine	thirteen
math	grade1	problem	4+9	13
math	grade1	fact	4 plus 10	fourteen
