# domain	grade	kind	question	answer
# Open PK→G8 curriculum — curriculum_open.py
math	preschool	fact	number 0	zero
math	preschool	fact	count word zero	0
math	preschool	fact	after zero	one
math	preschool	fact	number 1	one
math	preschool	fact	count word one	1
math	preschool	fact	after one	two
math	preschool	fact	before one	zero
math	preschool	fact	number 2	two
math	preschool	fact	count word two	2
math	preschool	fact	after two	three
math	preschool	fact	before two	one
math	preschool	fact	number 3	three
math	preschool	fact	count word three	3
math	preschool	fact	after three	four
math	preschool	fact	before three	two
math	preschool	fact	number 4	four
math	preschool	fact	count word four	4
math	preschool	fact	after four	five
math	preschool	fact	before four	three
math	preschool	fact	number 5	five
math	preschool	fact	count word five	5
math	preschool	fact	after five	six
math	preschool	fact	before five	four
math	kindergarten	fact	number 6	six
math	kindergarten	fact	count word six	6
math	kindergarten	fact	after six	seven
math	kindergarten	fact	before six	five
math	kindergarten	fact	number 7	seven
math	kindergarten	fact	count word seven	7
math	kindergarten	fact	after seven	eight
math	kindergarten	fact	before seven	six
math	kindergarten	fact	number 8	eight
math	kindergarten	fact	count word eight	8
math	kindergarten	fact	after eight	nine
math	kindergarten	fact	before eight	seven
math	kindergarten	fact	number 9	nine
math	kindergarten	fact	count word nine	9
math	kindergarten	fact	after nine	ten
math	kindergarten	fact	before nine	eight
math	kindergarten	fact	number 10	ten
math	kindergarten	fact	count word ten	10
math	kindergarten	fact	after ten	eleven
math	kindergarten	fact	before ten	nine
math	grade1	fact	number 11	eleven
math	grade1	fact	count word eleven	11
math	grade1	fact	after eleven	twelve
math	grade1	fact	before eleven	ten
math	grade1	fact	number 12	twelve
math	grade1	fact	count word twelve	12
math	grade1	fact	after twelve	thirteen
math	grade1	fact	before twelve	eleven
math	grade1	fact	number 13	thirteen
math	grade1	fact	count word thirteen	13
math	grade1	fact	after thirteen	fourteen
math	grade1	fact	before thirteen	twelve
math	grade1	fact	number 14	fourteen
math	grade1	fact	count word fourteen	14
math	grade1	fact	after fourteen	fifteen
math	grade1	fact	before fourteen	thirteen
math	grade1	fact	number 15	fifteen
math	grade1	fact	count word fifteen	15
math	grade1	fact	after fifteen	sixteen
math	grade1	fact	before fifteen	fourteen
math	grade1	fact	number 16	sixteen
math	grade1	fact	count word sixteen	16
math	grade1	fact	after sixteen	seventeen
math	grade1	fact	before sixteen	fifteen
math	grade1	fact	number 17	seventeen
math	grade1	fact	count word seventeen	17
math	grade1	fact	after seventeen	eighteen
math	grade1	fact	before seventeen	sixteen
math	grade1	fact	number 18	eighteen
math	grade1	fact	count word eighteen	18
math	grade1	fact	after eighteen	nineteen
math	grade1	fact	before eighteen	seventeen
math	grade1	fact	number 19	nineteen
math	grade1	fact	count word nineteen	19
math	grade1	fact	after nineteen	twenty
math	grade1	fact	before nineteen	eighteen
math	grade1	fact	number 20	twenty
math	grade1	fact	count word twenty	20
math	grade1	fact	before twenty	nineteen
math	preschool	fact	0 plus 0	zero
math	preschool	problem	0+0	0
math	preschool	fact	0 plus 1	one
math	preschool	problem	0+1	1
math	preschool	fact	0 plus 2	two
math	preschool	problem	0+2	2
math	preschool	fact	0 plus 3	three
math	preschool	problem	0+3	3
math	kindergarten	fact	0 plus 4	four
math	kindergarten	problem	0+4	4
math	kindergarten	fact	0 plus 5	five
math	kindergarten	problem	0+5	5
math	kindergarten	fact	0 plus 6	six
math	kindergarten	problem	0+6	6
math	kindergarten	fact	0 plus 7	seven
math	kindergarten	problem	0+7	7
math	kindergarten	fact	0 plus 8	eight
math	kindergarten	problem	0+8	8
math	kindergarten	fact	0 plus 9	nine
math	kindergarten	problem	0+9	9
math	kindergarten	fact	0 plus 10	ten
math	kindergarten	problem	0+10	10
math	preschool	fact	0 minus 0	zero
math	preschool	problem	0-0	0
math	preschool	fact	1 plus 0	one
math	preschool	problem	1+0	1
math	preschool	fact	1 plus 1	two
math	preschool	problem	1+1	2
math	preschool	fact	1 plus 2	three
math	preschool	problem	1+2	3
math	preschool	fact	1 plus 3	four
math	preschool	problem	1+3	4
math	kindergarten	fact	1 plus 4	five
math	kindergarten	problem	1+4	5
math	kindergarten	fact	1 plus 5	six
math	kindergarten	problem	1+5	6
math	kindergarten	fact	1 plus 6	seven
math	kindergarten	problem	1+6	7
math	kindergarten	fact	1 plus 7	eight
math	kindergarten	problem	1+7	8
math	kindergarten	fact	1 plus 8	nine
math	kindergarten	problem	1+8	9
math	kindergarten	fact	1 plus 9	ten
math	kindergarten	problem	1+9	10
math	grade1	fact	1 plus 10	eleven
math	grade1	problem	1+10	11
math	preschool	fact	1 minus 0	one
math	preschool	problem	1-0	1
math	preschool	fact	1 minus 1	zero
math	preschool	problem	1-1	0
math	preschool	fact	2 plus 0	two
math	preschool	problem	2+0	2
math	preschool	fact	2 plus 1	three
math	preschool	problem	2+1	3
math	preschool	fact	2 plus 2	four
math	preschool	problem	2+2	4
math	preschool	fact	2 plus 3	five
math	preschool	problem	2+3	5
math	kindergarten	fact	2 plus 4	six
math	kindergarten	problem	2+4	6
math	kindergarten	fact	2 plus 5	seven
math	kindergarten	problem	2+5	7
math	kindergarten	fact	2 plus 6	eight
math	kindergarten	problem	2+6	8
math	kindergarten	fact	2 plus 7	nine
math	kindergarten	problem	2+7	9
math	kindergarten	fact	2 plus 8	ten
math	kindergarten	problem	2+8	10
math	grade1	fact	2 plus 9	eleven
math	grade1	problem	2+9	11
math	grade1	fact	2 plus 10	twelve
math	grade1	problem	2+10	12
math	preschool	fact	2 minus 0	two
math	preschool	problem	2-0	2
math	preschool	fact	2 minus 1	one
math	preschool	problem	2-1	1
math	preschool	fact	2 minus 2	zero
math	preschool	problem	2-2	0
math	preschool	fact	3 plus 0	three
math	preschool	problem	3+0	3
math	preschool	fact	3 plus 1	four
math	preschool	problem	3+1	4
math	preschool	fact	3 plus 2	five
math	preschool	problem	3+2	5
math	kindergarten	fact	3 plus 3	six
math	kindergarten	problem	3+3	6
math	kindergarten	fact	3 plus 4	seven
math	kindergarten	problem	3+4	7
math	kindergarten	fact	3 plus 5	eight
math	kindergarten	problem	3+5	8
math	kindergarten	fact	3 plus 6	nine
math	kindergarten	problem	3+6	9
math	kindergarten	fact	3 plus 7	ten
math	kindergarten	problem	3+7	10
math	grade1	fact	3 plus 8	eleven
math	grade1	problem	3+8	11
math	grade1	fact	3 plus 9	twelve
math	grade1	problem	3+9	12
math	grade1	fact	3 plus 10	thirteen
math	grade1	problem	3+10	13
math	preschool	fact	3 minus 0	three
math	preschool	problem	3-0	3
math	preschool	fact	3 minus 1	two
math	preschool	problem	3-1	2
math	preschool	fact	3 minus 2	one
math	preschool	problem	3-2	1
math	preschool	fact	3 minus 3	zero
math	preschool	problem	3-3	0
math	kindergarten	fact	4 plus 0	four
math	kindergarten	problem	4+0	4
math	kindergarten	fact	4 plus 1	five
math	kindergarten	problem	4+1	5
math	kindergarten	fact	4 plus 2	six
math	kindergarten	problem	4+2	6
math	kindergarten	fact	4 plus 3	seven
math	kindergarten	problem	4+3	7
math	kindergarten	fact	4 plus 4	eight
math	kindergarten	problem	4+4	8
math	kindergarten	fact	4 plus 5	nine
math	kindergarten	problem	4+5	9
math	kindergarten	fact	4 plus 6	ten
math	kindergarten	problem	4+6	10
math	grade1	fact	4 plus 7	eleven
math	grade1	problem	4+7	11
math	grade1	fact	4 plus 8	twelve
math	grade1	problem	4+8	12
math	grade1	fact	4 plus 9	thirteen
math	grade1	problem	4+9	13
math	grade1	fact	4 plus 10	fourteen
math	grade1	problem	4+10	14
math	preschool	fact	4 minus 0	four
math	preschool	problem	4-0	4
math	preschool	fact	4 minus 1	three
math	preschool	problem	4-1	3
math	preschool	fact	4 minus 2	two
math	preschool	problem	4-2	2
math	preschool	fact	4 minus 3	one
math	preschool	problem	4-3	1
math	preschool	fact	4 minus 4	zero
math	preschool	problem	4-4	0
math	kindergarten	fact	5 plus 0	five
math	kindergarten	problem	5+0	5
math	kindergarten	fact	5 plus 1	six
math	kindergarten	problem	5+1	6
math	kindergarten	fact	5 plus 2	seven
math	kindergarten	problem	5+2	7
math	kindergarten	fact	5 plus 3	eight
math	kindergarten	problem	5+3	8
math	kindergarten	fact	5 plus 4	nine
math	kindergarten	problem	5+4	9
math	kindergarten	fact	5 plus 5	ten
math	kindergarten	problem	5+5	10
math	grade1	fact	5 plus 6	eleven
math	grade1	problem	5+6	11
math	grade1	fact	5 plus 7	twelve
math	grade1	problem	5+7	12
math	grade1	fact	5 plus 8	thirteen
math	grade1	problem	5+8	13
math	grade1	fact	5 plus 9	fourteen
math	grade1	problem	5+9	14
math	grade1	fact	5 plus 10	fifteen
math	grade1	problem	5+10	15
math	preschool	fact	5 minus 0	five
math	preschool	problem	5-0	5
math	preschool	fact	5 minus 1	four
math	preschool	problem	5-1	4
math	preschool	fact	5 minus 2	three
math	preschool	problem	5-2	3
math	preschool	fact	5 minus 3	two
math	preschool	problem	5-3	2
math	preschool	fact	5 minus 4	one
math	preschool	problem	5-4	1
math	preschool	fact	5 minus 5	zero
math	preschool	problem	5-5	0
math	kindergarten	fact	6 plus 0	six
math	kindergarten	problem	6+0	6
math	kindergarten	fact	6 plus 1	seven
math	kindergarten	problem	6+1	7
math	kindergarten	fact	6 plus 2	eight
math	kindergarten	problem	6+2	8
math	kindergarten	fact	6 plus 3	nine
math	kindergarten	problem	6+3	9
math	kindergarten	fact	6 plus 4	ten
math	kindergarten	problem	6+4	10
math	grade1	fact	6 plus 5	eleven
math	grade1	problem	6+5	11
math	grade1	fact	6 plus 6	twelve
math	grade1	problem	6+6	12
math	grade1	fact	6 plus 7	thirteen
math	grade1	problem	6+7	13
math	grade1	fact	6 plus 8	fourteen
math	grade1	problem	6+8	14
math	grade1	fact	6 plus 9	fifteen
math	grade1	problem	6+9	15
math	grade1	fact	6 plus 10	sixteen
math	grade1	problem	6+10	16
math	kindergarten	fact	6 minus 0	six
math	kindergarten	problem	6-0	6
math	kindergarten	fact	6 minus 1	five
math	kindergarten	problem	6-1	5
math	kindergarten	fact	6 minus 2	four
math	kindergarten	problem	6-2	4
math	kindergarten	fact	6 minus 3	three
math	kindergarten	problem	6-3	3
math	kindergarten	fact	6 minus 4	two
math	kindergarten	problem	6-4	2
math	kindergarten	fact	6 minus 5	one
math	kindergarten	problem	6-5	1
math	kindergarten	fact	6 minus 6	zero
math	kindergarten	problem	6-6	0
math	kindergarten	fact	7 plus 0	seven
math	kindergarten	problem	7+0	7
math	kindergarten	fact	7 plus 1	eight
math	kindergarten	problem	7+1	8
math	kindergarten	fact	7 plus 2	nine
math	kindergarten	problem	7+2	9
math	kindergarten	fact	7 plus 3	ten
math	kindergarten	problem	7+3	10
math	grade1	fact	7 plus 4	eleven
math	grade1	problem	7+4	11
math	grade1	fact	7 plus 5	twelve
math	grade1	problem	7+5	12
math	grade1	fact	7 plus 6	thirteen
math	grade1	problem	7+6	13
math	grade1	fact	7 plus 7	fourteen
math	grade1	problem	7+7	14
math	grade1	fact	7 plus 8	fifteen
math	grade1	problem	7+8	15
math	grade1	fact	7 plus 9	sixteen
math	grade1	problem	7+9	16
math	grade1	fact	7 plus 10	seventeen
math	grade1	problem	7+10	17
math	kindergarten	fact	7 minus 0	seven
math	kindergarten	problem	7-0	7
math	kindergarten	fact	7 minus 1	six
math	kindergarten	problem	7-1	6
math	kindergarten	fact	7 minus 2	five
