# word	role	pos	gloss	definition
# Pointed language depth — POS + short meaning (not word salad)
learn	verb	verb	study	gain knowledge
city	what	noun	place	large town
child	who	noun	person	young human
listen	verb	verb	hear	pay attention to sound
speak	verb	verb	talk	use words aloud
slowly	how	adverb	slow	not fast
friend	who	noun	person	person you like
house	what	noun	home	place where people live
remember	verb	verb	recall	bring back to mind
beautiful	adj	adjective	pretty	pleasing to see
book	what	noun	pages	pages bound to read
think	verb	verb	reason	use the mind
water	what	noun	liquid	clear liquid we drink
quickly	how	adverb	fast	with speed
happy	adj	adjective	glad	feeling pleasure
teacher	who	noun	person	a person who teaches
dog	what	noun	animal	a domestic animal
aah	verb	verb	express	express admiration and pleasure by uttering `ooh' or `aah'
aby	verb	verb	make-amends	make amends for
add	verb	verb	make-addition	make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of
aid	verb	verb	give-help	give help or assistance; be of service
ask	verb	verb	make-request	make a request or demand for something to somebody
ban	verb	verb	prohibit	prohibit especially by legal means or social pressure
bat	verb	verb	strike	strike with, or as if with a baseball bat
beg	verb	verb	call-upon	call upon in supplication; entreat
bet	verb	verb	maintain	maintain with or as if with a bet
bid	verb	verb	propose	propose a payment
bob	verb	verb	move-down	move up and down repeatedly
boo	verb	verb	show-displeasure	show displeasure, as after a performance or speech
bow	verb	verb	bend-one	bend one's knee or body, or lower one's head
buy	verb	verb	obtain	obtain by purchase; acquire by means of a financial transaction
caw	verb	verb	utter	utter a cry, characteristic of crows, rooks, or ravens
cry	verb	verb	utter	utter a sudden loud cry
cut	verb	verb	separate	separate with or as if with an instrument
dab	verb	verb	apply	apply (usually a liquid) to a surface
die	verb	verb	pass-physical	pass from physical life and lose all bodily attributes and functions necessary to sustain life
dig	verb	verb	turn-loosen	turn up, loosen, or remove earth
dip	verb	verb	immerse	immerse briefly into a liquid so as to wet, coat, or saturate
don	verb	verb	put-clothing	put clothing on one's body
dub	verb	verb	give-nickname	give a nickname to
dye	verb	verb	color	color with dye
eat	verb	verb	take-solid	take in solid food
ebb	verb	verb	flow-back	flow back or recede
eff	verb	verb	have-sexual	have sexual intercourse with
end	verb	verb	have-end	have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical
err	verb	verb	make-mistake	to make a mistake or be incorrect
fit	verb	verb	agreeable	be agreeable or acceptable to
fix	verb	verb	restore	restore by replacing a part or putting together what is torn or broken
fly	verb	verb	travel	travel through the air; be airborne
fry	verb	verb	cook-hot	cook on a hot surface using fat
get	verb	verb	cause	cause to move; cause to be in a certain position or condition
gip	verb	verb	deprive	deprive of by deceit
hew	verb	verb	strike	strike with an axe; cut down, strike
hie	verb	verb	move-fast	move fast
hit	verb	verb	cause	cause to move by striking
hog	verb	verb	take-greedily	take greedily; take more than one's share
hop	verb	verb	jump-lightly	jump lightly
hug	verb	verb	squeeze	squeeze (someone) tightly in your arms, usually with fondness
