# word	synonyms (comma-separated)
a	alias,amp,milne
a-bit	a-little,a-trifle
a-couple-of	a-few
a-few	a-couple-of
a-la-mode	modish
a-little	a-bit,a-trifle
a-one	super,tiptop,tops
a-trifle	a-bit,a-little
aa	associate-in-arts
aachen	aken
aah	ooh
aalto	alvar-aalto,hugo-alvar-henrik-aalto
aar	aare,aare-river
aare	aar,aare-river
aare-river	aar,aare
aarhus	arhus
aave	black-english,black-vernacular,ebonics
ab	artium-baccalaurens,av,ba,bachelor-of-arts
ab-initio	initially
abaca	manila-hemp,musa-textilis
abaft	aft,astern
abamp	abampere
abampere	abamp
abandon	desert,forsake
abase	chagrin,humble,humiliate,mortify
abash	embarrass
abashed	chagrined,embarrassed
abasic	abatic
abate	die-away,let-up,slack,slack-off
abatic	abasic
abatis	abattis
abattis	abatis
abaxial	dorsal
abb	alex-boncayao-brigade,rpa-abb
abbot	archimandrite
abc	abc's,abcs,alphabet,first-principle,first-rudiment,rudiment
abc's	abc,abcs,alphabet,first-principle,first-rudiment,rudiment
abcs	abc,abc's,alphabet,first-principle,first-rudiment,rudiment
abdias	book-of-obadiah,obadiah
abdomen	belly,stomach,venter
abduct	kidnap
abductor	kidnapper
abele	aspen-poplar,populus-alba,silver-leaved-poplar,white-aspen,white-poplar
aberdeen-angus	angus
aberrant	deviant
abhor	abominate,execrate,loathe
abhorrence	odium
abide	bide,stay
abide-by	comply
abiding	enduring,imperishable
abies	genus-abies
abila	abyla,jebel-musa
abject	low,low-down,miserable,scummy,scurvy
abjure	retract
abkhaz	abkhazian
abkhazian	abkhaz
ablactate	wean
ablactation	weaning
ablation	cutting-out,excision,extirpation
ablaze	afire,aflame,aflare,aroused
able-bodiedism	ablism
able-bodism	ablism
ableism	ablism
ablism	able-bodiedism,able-bodism,ableism
abloom	efflorescent
ably	aptly,capably,competently
abm	antiballistic-missile
abo	aboriginal,aborigine,australian-aborigine,native-australian
aboard	on-board
abode	domicile,dwelling,dwelling-house,habitation,home,residence
abolish	get-rid-of
abominable	awful,odious
abominable-snowman	yeti
abominate	abhor,loathe
abomination	odium
abor	dafla,miri,mirish
aboriginal	abo,primal,primeval
aborigine	abo
aboulic	abulic
abounding	galore
